"data_id","age","comprehension","production","language","form","birth_order","ethnicity","sex","zygosity","norming","mom_ed","longitudinal","source_name","license","is_first"
129487,18,42,42,"English (American)","WS","Second","Black","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129488,17,21,21,"English (American)","WS","Second","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129489,27,235,235,"English (American)","WS","Second","Other","Male",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129490,18,127,127,"English (American)","WS","Fourth","Black","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129491,22,425,425,"English (American)","WS","Third","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129492,22,179,179,"English (American)","WS","First","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129493,19,29,29,"English (American)","WS","First","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129494,28,516,516,"English (American)","WS","Third","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129495,17,111,111,"English (American)","WS","First","Black","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129496,18,76,76,"English (American)","WS","First","Black","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129497,29,173,173,"English (American)","WS","First","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129498,22,76,76,"English (American)","WS","First","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129499,16,83,83,"English (American)","WS","First","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",TRUE
129500,26,657,657,"English (American)","WS","First","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129501,20,137,137,"English (American)","WS","First","Black","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129502,28,276,276,"English (American)","WS","First","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129503,28,362,362,"English (American)","WS","Third","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129504,20,475,475,"English (American)","WS","First","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129505,17,290,290,"English (American)","WS","First","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129506,28,607,607,"English (American)","WS","First","Black","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129507,27,314,314,"English (American)","WS","Third","Black","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129508,20,226,226,"English (American)","WS","First","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129509,30,337,337,"English (American)","WS","First","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129510,30,566,566,"English (American)","WS","Second","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129511,27,607,607,"English (American)","WS","Second","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
